author,email,institution,count_citators,count_national_citators,count_international_citators,papers,Indice_colaboracion_cientifica_internacional,Indice_colaboracion_cientifica_nacional,Tendencia_Global,Indice_Colaboracion_General
Ben,ben@gmail.com,UCA,92,8,84,1,84.0,8.0,10.5,92
Ben,ben@gmail.com,UM,84,9,75,1,75.0,9.0,8.333333333333334,84
Ben,ben@gmail.com,UNC,284,32,252,3,84.0,10.666666666666666,7.875,284
Ben,ben@gmail.com,UTN,153,5,148,2,74.0,2.5,29.6,153
Carl,carl@gmail.com,UCA,82,6,76,1,76.0,6.0,12.666666666666666,82
Carl,carl@gmail.com,UM,187,19,168,2,84.0,9.5,8.842105263157896,187
Carl,carl@gmail.com,UNC,208,22,186,2,93.0,11.0,8.454545454545455,208
Carl,carl@gmail.com,UTN,191,21,170,2,85.0,10.5,8.095238095238095,191
Eduardo,eduardo@gmail.com,UCA,270,33,237,3,79.0,11.0,7.181818181818182,270
Eduardo,eduardo@gmail.com,UNC,72,6,66,1,66.0,6.0,11.0,72
Eduardo,eduardo@gmail.com,UTN,269,34,235,3,78.33333333333333,11.333333333333334,6.911764705882353,269
Jack,jack@gmail.com,UCA,103,12,91,1,91.0,12.0,7.583333333333333,103
Jack,jack@gmail.com,UM,191,26,165,2,82.5,13.0,6.346153846153846,191
Jack,jack@gmail.com,UNC,289,33,256,3,85.33333333333333,11.0,7.757575757575758,289
Jack,jack@gmail.com,UTN,81,8,73,1,73.0,8.0,9.125,81
Jackie,jackie@gmail.com,UCA,463,48,415,5,83.0,9.6,8.645833333333334,463
Jackie,jackie@gmail.com,UM,176,15,161,2,80.5,7.5,10.733333333333333,176
Jackie,jackie@gmail.com,UNC,92,10,82,1,82.0,10.0,8.2,92
Jackie,jackie@gmail.com,UTN,207,26,181,2,90.5,13.0,6.961538461538462,207
Jane,jane@gmail.com,UCA,100,12,88,1,88.0,12.0,7.333333333333333,100
Jane,jane@gmail.com,UNC,88,9,79,1,79.0,9.0,8.777777777777779,88
Jane,jane@gmail.com,UTN,90,7,83,1,83.0,7.0,11.857142857142858,90
Jean,jean@gmail.com,UCA,179,19,160,2,80.0,9.5,8.421052631578947,179
Jean,jean@gmail.com,UM,205,22,183,2,91.5,11.0,8.318181818181818,205
Jessica,jessica@gmail.com,UCA,96,8,88,1,88.0,8.0,11.0,96
Jessica,jessica@gmail.com,UM,99,15,84,1,84.0,15.0,5.6,99
Jessica,jessica@gmail.com,UNC,90,13,77,1,77.0,13.0,5.923076923076923,90
Jessica,jessica@gmail.com,UTN,296,29,267,3,89.0,9.666666666666666,9.206896551724139,296
Jill,jill@gmail.com,UCA,188,23,165,2,82.5,11.5,7.173913043478261,188
Jill,jill@gmail.com,UM,105,9,96,1,96.0,9.0,10.666666666666666,105
Jill,jill@gmail.com,UNC,262,25,237,3,79.0,8.333333333333334,9.48,262
Juan,juan@gmail.com,UCA,669,65,604,7,86.28571428571429,9.285714285714286,9.292307692307693,669
Juan,juan@gmail.com,UM,94,10,84,1,84.0,10.0,8.4,94
Juan,juan@gmail.com,UNC,214,28,186,2,93.0,14.0,6.642857142857143,214
Juan,juan@gmail.com,UTN,192,24,168,2,84.0,12.0,7.0,192
Lucas,lucas@gmail.com,UCA,110,15,95,1,95.0,15.0,6.333333333333333,110
Lucas,lucas@gmail.com,UM,273,32,241,3,80.33333333333333,10.666666666666666,7.53125,273
Lucas,lucas@gmail.com,UTN,271,20,251,3,83.66666666666667,6.666666666666667,12.55,271
Luis,luis@gmail.com,UCA,279,28,251,3,83.66666666666667,9.333333333333334,8.964285714285714,279
Luis,luis@gmail.com,UM,374,31,343,4,85.75,7.75,11.064516129032258,374
Luis,luis@gmail.com,UNC,105,11,94,1,94.0,11.0,8.545454545454545,105
Luis,luis@gmail.com,UTN,84,11,73,1,73.0,11.0,6.636363636363637,84
Martin,martin@gmail.com,UM,84,15,69,1,69.0,15.0,4.6,84
Martin,martin@gmail.com,UTN,84,6,78,1,78.0,6.0,13.0,84
Tomas,tomas@gmail.com,UCA,369,33,336,4,84.0,8.25,10.181818181818182,369
Tomas,tomas@gmail.com,UM,166,25,141,2,70.5,12.5,5.64,166
Tomas,tomas@gmail.com,UNC,85,12,73,1,73.0,12.0,6.083333333333333,85
Tomas,tomas@gmail.com,UTN,288,28,260,3,86.66666666666667,9.333333333333334,9.285714285714286,288
Wendy,wendy@gmail.com,UCA,105,12,93,1,93.0,12.0,7.75,105
Wendy,wendy@gmail.com,UM,292,24,268,3,89.33333333333333,8.0,11.166666666666666,292
Wendy,wendy@gmail.com,UNC,167,20,147,2,73.5,10.0,7.35,167
Wendy,wendy@gmail.com,UTN,455,48,407,5,81.4,9.6,8.479166666666666,455
